"2016-03-26T17:14:34.430Z, ""load"", ""https://search.yahoo.com/yhs/search?p=deredactie&ei=UTF-8&hspart=mozilla&hsimp=yhs-002"", """"";;;
"2016-03-26T17:14:36.968Z, ""click"", ""https://search.yahoo.com/yhs/search?p=deredactie&ei=UTF-8&hspart=mozilla&hsimp=yhs-002"", ""http://r.search.yahoo.com/_ylt=A86.J755w_ZWfioAJLAnnIlQ";"_ylu=X3oDMTByb2lvbXVuBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1459041273/RO=10/RU=http%3a%2f%2fwww.deredactie.be%2f/RK=0/RS=VPslaY9bhttefaE.kK4rMVwHqwA-""";;
"2016-03-26T17:14:40.718Z, ""load"", ""http://deredactie.be/cm/vrtnieuws"", """"";;;
"2016-03-26T17:14:51.617Z, ""click"", ""http://deredactie.be/cm/vrtnieuws"", ""http://deredactie.be/cm/vrtnieuws#""";;;
"2016-03-26T17:15:02.800Z, ""click"", ""http://deredactie.be/cm/vrtnieuws"", ""http://deredactie.be/cm/vrtnieuws/videozone""";;;
"2016-03-26T17:15:02.819Z, ""beforeunload"", ""http://deredactie.be/cm/vrtnieuws"", """"";;;
"2016-03-26T17:15:03.926Z, ""load"", ""http://deredactie.be/cm/vrtnieuws/videozone"", """"";;;
"2016-03-26T17:15:06.866Z, ""click"", ""http://deredactie.be/cm/vrtnieuws/videozone"", ""http://deredactie.be/cm/vrtnieuws/videozone/programmas/journaal""";;;
"2016-03-26T17:15:06.878Z, ""beforeunload"", ""http://deredactie.be/cm/vrtnieuws/videozone"", """"";;;
"2016-03-26T17:15:07.955Z, ""load"", ""http://deredactie.be/cm/vrtnieuws/videozone/programmas/journaal"", """"";;;
"2016-03-26T17:15:36.259Z, ""click"", ""http://deredactie.be/cm/vrtnieuws/videozone/programmas/journaal"", ""http://deredactie.be/cm/2.27183?mode=ajax&view=videoWall&id=videowall_nav1_2&showLoadMore=true&nrOfRows=3""";;;
"2016-03-26T17:15:41.552Z, ""click"", ""http://deredactie.be/cm/vrtnieuws/videozone/programmas/journaal"", ""http://deredactie.be/cm/2.27098?mode=ajax&view=videoWall&id=videowall_nav1_4&showLoadMore=true&nrOfRows=3""";;;
"2016-03-26T17:15:44.198Z, ""click"", ""http://deredactie.be/cm/vrtnieuws/videozone/programmas/journaal"", ""http://deredactie.be/cm/2.27101?mode=ajax&view=videoWallContent&title=Terzake&id=videowall_nav1_4_2_27101&showLoadMore=true&nrOfRows=3""";;;
"2016-03-26T17:15:54.940Z, ""click"", ""http://deredactie.be/cm/vrtnieuws/videozone/programmas/journaal"", ""http://deredactie.be/cm/vrtnieuws/videozone/programmas/terzake/2.43551?video=1.2612266""";;;
"2016-03-26T17:15:54.944Z, ""beforeunload"", ""http://deredactie.be/cm/vrtnieuws/videozone/programmas/journaal"", """"";;;
"2016-03-26T17:15:57.655Z, ""load"", ""http://deredactie.be/cm/vrtnieuws/videozone/programmas/terzake/2.43551?video=1.2612266"", """"";;;
"2016-03-26T17:16:15.595Z, ""click"", ""http://deredactie.be/cm/vrtnieuws/videozone/programmas/terzake/2.43551?video=1.2612266"", ""http://deredactie.be/cm/vrtnieuws/videozone/60%2Bseconden""";;;
"2016-03-26T17:16:15.613Z, ""beforeunload"", ""http://deredactie.be/cm/vrtnieuws/videozone/programmas/terzake/2.43551?video=1.2612266"", """"";;;
"2016-03-26T17:16:16.883Z, ""load"", ""http://deredactie.be/cm/vrtnieuws/videozone/60%2Bseconden"", """"";;;
"2016-03-26T17:16:27.019Z, ""click"", ""http://deredactie.be/cm/vrtnieuws/videozone/60%2Bseconden"", ""http://deredactie.be/cm/vrtnieuws/videozone/programmas""";;;
"2016-03-26T17:16:27.039Z, ""beforeunload"", ""http://deredactie.be/cm/vrtnieuws/videozone/60%2Bseconden"", """"";;;
"2016-03-26T17:16:28.025Z, ""load"", ""http://deredactie.be/cm/vrtnieuws/videozone/programmas"", """"";;;
"2016-03-26T17:16:30.140Z, ""click"", ""http://deredactie.be/cm/vrtnieuws/videozone/programmas"", ""http://deredactie.be/cm/vrtnieuws/videozone/programmas/journaal""";;;
"2016-03-26T17:16:30.153Z, ""beforeunload"", ""http://deredactie.be/cm/vrtnieuws/videozone/programmas"", """"";;;
"2016-03-26T17:16:31.465Z, ""load"", ""http://deredactie.be/cm/vrtnieuws/videozone/programmas/journaal"", """"";;;
"2016-03-26T17:16:41.672Z, ""beforeunload"", ""http://deredactie.be/cm/vrtnieuws/videozone/programmas/journaal"", """"";;;
"2016-03-26T17:16:42.551Z, ""load"", ""https://search.yahoo.com/yhs/search?p=standaard&ei=UTF-8&hspart=mozilla&hsimp=yhs-002"", """"";;;
"2016-03-26T17:16:43.970Z, ""click"", ""https://search.yahoo.com/yhs/search?p=standaard&ei=UTF-8&hspart=mozilla&hsimp=yhs-002"", ""http://r.search.yahoo.com/_ylt=AwrT6Vr5w_ZWSE0AB2QnnIlQ";"_ylu=X3oDMTEybDg3MTJ1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDQjE3MThfMQRzZWMDc3I-/RV=2/RE=1459041402/RO=10/RU=http%3a%2f%2fwww.standaard.be%2f/RK=0/RS=dC8uqvnTuoIAD5.o_6PKlRQ6aqU-""";;
"2016-03-26T17:16:46.512Z, ""load"", ""http://www.standaard.be/"", """"";;;
"2016-03-26T17:17:16.600Z, ""click"", ""http://www.standaard.be/"", ""http://www.standaard.be/nieuws/binnenland""";;;
"2016-03-26T17:17:16.605Z, ""beforeunload"", ""http://www.standaard.be/"", """"";;;
"2016-03-26T17:17:17.566Z, ""load"", ""http://www.standaard.be/nieuws/binnenland"", """"";;;
"2016-03-26T17:17:37.931Z, ""click"", ""http://www.standaard.be/nieuws/binnenland"", ""http://www.standaard.be/plus/ochtend""";;;
"2016-03-26T17:17:37.936Z, ""beforeunload"", ""http://www.standaard.be/nieuws/binnenland"", """"";;;
"2016-03-26T17:17:38.633Z, ""load"", ""http://www.standaard.be/plus/ochtend"", """"";;;
"2016-03-26T17:17:41.145Z, ""click"", ""http://www.standaard.be/plus/ochtend"", ""http://www.standaard.be/plus/ochtend/4""";;;
"2016-03-26T17:17:41.149Z, ""beforeunload"", ""http://www.standaard.be/plus/ochtend"", """"";;;
"2016-03-26T17:17:42.010Z, ""load"", ""http://www.standaard.be/plus/login?goto=http%3A%2F%2Fwww.standaard.be%3A80%2Fplus%2Fochtend%2F4"", """"";;;
"2016-03-26T17:17:45.930Z, ""beforeunload"", ""http://www.standaard.be/plus/login?goto=http%3A%2F%2Fwww.standaard.be%3A80%2Fplus%2Fochtend%2F4"", """"";;;
"2016-03-26T17:17:46.361Z, ""load"", ""http://www.standaard.be/plus/ochtend"", """"";;;
"2016-03-26T17:17:46.563Z, ""beforeunload"", ""http://www.standaard.be/plus/ochtend"", """"";;;
"2016-03-26T17:17:47.398Z, ""load"", ""http://www.standaard.be/nieuws/binnenland"", """"";;;
"2016-03-26T17:18:01.524Z, ""click"", ""http://www.standaard.be/nieuws/binnenland"", ""http://www.standaard.be/cnt/dmf20160326_02205525""";;;
"2016-03-26T17:18:01.530Z, ""beforeunload"", ""http://www.standaard.be/nieuws/binnenland"", """"";;;
"2016-03-26T17:18:02.587Z, ""load"", ""http://www.standaard.be/cnt/dmf20160326_02205525"", """"";;;
"2016-03-26T17:18:08.233Z, ""click"", ""http://www.standaard.be/cnt/dmf20160326_02205525"", ""http://www.standaard.be/cnt/dmf20160322_02196804""";;;
"2016-03-26T17:18:08.244Z, ""beforeunload"", ""http://www.standaard.be/cnt/dmf20160326_02205525"", """"";;;
"2016-03-26T17:18:09.125Z, ""load"", ""http://www.standaard.be/cnt/dmf20160322_02196804"", """"";;;
"2016-03-26T17:18:23.859Z, ""click"", ""http://www.standaard.be/cnt/dmf20160322_02196804"", ""http://www.standaard.be/""";;;
"2016-03-26T17:18:23.872Z, ""beforeunload"", ""http://www.standaard.be/cnt/dmf20160322_02196804"", """"";;;
"2016-03-26T17:18:24.923Z, ""load"", ""http://www.standaard.be/"", """"";;;
"2016-03-26T17:18:26.590Z, ""click"", ""http://www.standaard.be/"", ""http://www.standaard.be/nieuws/binnenland""";;;
"2016-03-26T17:18:26.594Z, ""beforeunload"", ""http://www.standaard.be/"", """"";;;
"2016-03-26T17:18:27.224Z, ""load"", ""http://www.standaard.be/nieuws/binnenland"", """"";;;
"2016-03-26T17:18:32.047Z, ""click"", ""http://www.standaard.be/nieuws/binnenland"", ""http://www.standaard.be/tag/aanslagen-brussel""";;;
"2016-03-26T17:18:32.052Z, ""beforeunload"", ""http://www.standaard.be/nieuws/binnenland"", """"";;;
"2016-03-26T17:18:32.925Z, ""load"", ""http://www.standaard.be/tag/aanslagen-brussel"", """"";;;
"2016-03-26T17:18:41.171Z, ""click"", ""http://www.standaard.be/tag/aanslagen-brussel"", ""http://www.standaard.be/cnt/dmf20160326_02205521""";;;
"2016-03-26T17:18:41.179Z, ""beforeunload"", ""http://www.standaard.be/tag/aanslagen-brussel"", """"";;;
"2016-03-26T17:18:42.001Z, ""load"", ""http://www.standaard.be/cnt/dmf20160326_02205521"", """"";;;
"2016-03-26T17:18:44.122Z, ""click"", ""http://www.standaard.be/cnt/dmf20160326_02205521"", ""http://www.standaard.be/cnt/dmf20160324_02200483""";;;
"2016-03-26T17:18:44.127Z, ""beforeunload"", ""http://www.standaard.be/cnt/dmf20160326_02205521"", """"";;;
"2016-03-26T17:18:44.795Z, ""load"", ""http://www.standaard.be/cnt/dmf20160324_02200483"", """"";;;
"2016-03-26T17:18:53.502Z, ""click"", ""http://www.standaard.be/cnt/dmf20160324_02200483"", ""http://www.standaard.be/cnt/dmf20160326_02205420""";;;
"2016-03-26T17:18:53.510Z, ""beforeunload"", ""http://www.standaard.be/cnt/dmf20160324_02200483"", """"";;;
"2016-03-26T17:18:54.228Z, ""load"", ""http://www.standaard.be/cnt/dmf20160326_02205420"", """"";;;
"2016-03-26T17:19:29.013Z, ""click"", ""http://www.standaard.be/cnt/dmf20160326_02205420"", ""http://www.standaard.be/cnt/dmf20160326_02205478""";;;
"2016-03-26T17:19:29.017Z, ""beforeunload"", ""http://www.standaard.be/cnt/dmf20160326_02205420"", """"";;;
"2016-03-26T17:19:30.287Z, ""load"", ""http://www.standaard.be/cnt/dmf20160326_02205478"", """"";;;
"2016-03-26T17:35:39.758Z, ""beforeunload"", ""http://www.standaard.be/cnt/dmf20160326_02205478"", """"";;;
"2016-03-26T17:35:40.576Z, ""load"", ""https://search.yahoo.com/yhs/search?p=sporza&ei=UTF-8&hspart=mozilla&hsimp=yhs-002"", """"";;;
"2016-03-26T17:35:41.676Z, ""click"", ""https://search.yahoo.com/yhs/search?p=sporza&ei=UTF-8&hspart=mozilla&hsimp=yhs-002"", ""http://r.search.yahoo.com/_ylt=AwrTcdVryPZWeigAbEMnnIlQ";"_ylu=X3oDMTEybDg3MTJ1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDQjE3MThfMQRzZWMDc3I-/RV=2/RE=1459042540/RO=10/RU=http%3a%2f%2fwww.sporza.be%2f/RK=0/RS=BaJ9Ab0wwtg6ARNTyMyTlmMF2f8-""";;
"2016-03-26T17:35:49.891Z, ""load"", ""http://sporza.be/cm/sporza"", """"";;;
"2016-03-26T17:37:41.221Z, ""click"", ""http://sporza.be/cm/sporza"", ""http://sporza.be/cm/sporza/voetbal""";;;
"2016-03-26T17:37:41.236Z, ""beforeunload"", ""http://sporza.be/cm/sporza"", """"";;;
"2016-03-26T17:37:47.382Z, ""load"", ""http://sporza.be/cm/sporza/voetbal"", """"";;;
"2016-03-26T17:39:55.123Z, ""click"", ""http://sporza.be/cm/sporza/voetbal"", ""http://sporza.be/cm/sporza/voetbal#""";;;
"2016-03-26T17:40:10.931Z, ""click"", ""http://sporza.be/cm/sporza/voetbal"", ""http://sporza.be/cm/sporza/matchcenter/mc_voetbal/jupilerleague_1516""";;;
"2016-03-26T17:40:10.945Z, ""beforeunload"", ""http://sporza.be/cm/sporza/voetbal"", """"";;;
"2016-03-26T17:40:16.139Z, ""load"", ""http://sporza.be/cm/sporza/matchcenter/mc_voetbal/jupilerleague_1516"", """"";;;
"2016-03-26T17:40:21.171Z, ""click"", ""http://sporza.be/cm/sporza/matchcenter/mc_voetbal/jupilerleague_1516"", ""http://sporza.be/cm/sporza/voetbal/Jupiler_Pro_League/1.2611246""";;;
"2016-03-26T17:40:21.181Z, ""beforeunload"", ""http://sporza.be/cm/sporza/matchcenter/mc_voetbal/jupilerleague_1516"", """"";;;
"2016-03-26T17:40:24.992Z, ""load"", ""http://sporza.be/cm/sporza/voetbal/Jupiler_Pro_League/1.2611246"", """"";;;
