"2016-03-13T15:35:38.879Z, ""load"", ""https://www.google.be/search?q=toledo+kul&ie=utf-8&oe=utf-8&gws_rd=cr&ei=sMjxVtm0KcLzPL_doIgC"", """""
"2016-03-13T15:35:40.640Z, ""click"", ""https://www.google.be/search?q=toledo+kul&ie=utf-8&oe=utf-8&gws_rd=cr&ei=sMjxVtm0KcLzPL_doIgC"", ""https://www.google.be/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0ahUKEwjWlrekrdXLAhXDYQ4KHT-RBNkQFggjMAA&url=https%3A%2F%2Ftoledo.kuleuven.be%2F&usg=AFQjCNGhDbFi61MBsss_BXI9mLUQgNS22w"""
"2016-03-13T15:35:40.718Z, ""beforeunload"", ""https://www.google.be/search?q=toledo+kul&ie=utf-8&oe=utf-8&gws_rd=cr&ei=sMjxVtm0KcLzPL_doIgC"", """""
"2016-03-13T15:35:42.180Z, ""load"", ""https://toledo.kuleuven.be/"", """""
"2016-03-13T15:35:43.923Z, ""click"", ""https://toledo.kuleuven.be/"", ""https://toledo.kuleuven.be/portal"""
"2016-03-13T15:35:43.945Z, ""beforeunload"", ""https://toledo.kuleuven.be/"", """""
"2016-03-13T15:35:44.043Z, ""load"", ""https://toledo.kuleuven.be/portal/"", """""
"2016-03-13T15:35:44.089Z, ""beforeunload"", ""https://toledo.kuleuven.be/portal/"", """""
"2016-03-13T15:35:44.613Z, ""load"", ""https://idp.kuleuven.be/idp/view/login.htm"", """""
"2016-03-13T15:36:20.208Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/view/login.htm"", """""
"2016-03-13T15:36:20.564Z, ""load"", ""https://idp.kuleuven.be/idp/profile/SAML2/POST/SSO"", """""
"2016-03-13T15:36:20.614Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/profile/SAML2/POST/SSO"", """""
"2016-03-13T15:36:21.521Z, ""load"", ""https://toledo.kuleuven.be/portal/"", """""
"2016-03-13T15:36:22.067Z, ""polling"", ""https://toledo.kuleuven.be/portal/#/home"", """""
"2016-03-13T15:36:35.448Z, ""click"", ""https://toledo.kuleuven.be/portal/#/home"", ""https://p.cygnus.cc.kuleuven.be/webapps/tol-web-rs-bb-bb_bb60/goto_lu.do?batchUid=B-KUL-H02A8a-1516&entityId=urn%3Amace%3Akuleuven.be%3Akulassoc%3Akuleuven.be"""
"2016-03-13T15:36:35.470Z, ""beforeunload"", ""https://toledo.kuleuven.be/portal/#/home"", """""
"2016-03-13T15:36:35.947Z, ""load"", ""https://idp.kuleuven.be/idp/profile/SAML2/Redirect/SSO"", """""
"2016-03-13T15:36:35.997Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/profile/SAML2/Redirect/SSO"", """""
"2016-03-13T15:36:36.454Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/webapps/tol-web-rs-bb-bb_bb60/goto_nowhite.do?rdl=%2Fwebapps%2Fbb-auth-provider-shibboleth-bb_bb60%2Fexecute%2FshibbolethLogin%3FauthProviderId%3D_104_1%26returnUrl%3D%252Fwebapps%252Fblackboard%252Fexecute%252FcourseMain%253Fcourse_id%253D_662166_1&altVersion=0"", """""
