"2016-03-22T14:41:43.312Z, ""click"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_656328_1&content_id=_15093673_1"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_656328_1&content_id=_15093604_1&mode=reset""  "
"2016-03-22T14:41:43.341Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_656328_1&content_id=_15093673_1"", """"   "
"2016-03-22T14:41:44.859Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_656328_1&content_id=_15093604_1&mode=reset"", """"    "
"2016-03-22T14:41:45.984Z, ""click"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_656328_1&content_id=_15093604_1&mode=reset"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_656328_1&content_id=_15093685_1""  "
"2016-03-22T14:41:45.999Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_656328_1&content_id=_15093604_1&mode=reset"", """"    "
"2016-03-22T14:41:47.898Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_656328_1&content_id=_15093685_1"", """"   "
"2016-03-22T14:41:53.984Z, ""click"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_656328_1&content_id=_15093685_1"", ""https://p.cygnus.cc.kuleuven.be/bbcswebdav/pid-15093686-dt-content-rid-72015425_2/xid-72015425_2""  "
"2016-03-22T14:41:54.615Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/bbcswebdav/pid-15093686-dt-content-rid-72015425_2/courses/B-KUL-H00I0a-1516/session_2%285%29.pdf"", """"    "
"2016-03-22T14:41:58.336Z, ""click"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_656328_1&content_id=_15093685_1"", ""https://p.cygnus.cc.kuleuven.be/bbcswebdav/pid-17273166-dt-content-rid-72020265_2/xid-72020265_2""  "
"2016-03-22T14:43:24.752Z, ""load"", ""http://tweakers.net/"", """"    "
"2016-03-22T14:43:24.998Z, ""load"", ""https://people.cs.kuleuven.be/~%cc%83albrecht.zimmermann/movie-names-well-formatted.html"", """"    "
"2016-03-22T14:43:27.313Z, ""beforeunload"", ""http://tweakers.net/"", """"    "
"2016-03-22T14:43:32.238Z, ""load"", ""https://www.youtube.com/"", """"    "
"2016-03-22T14:43:32.334Z, ""beforeunload"", ""https://www.youtube.com/"", """"    "
"2016-03-22T14:43:40.064Z, ""beforeunload"", ""https://people.cs.kuleuven.be/~%cc%83albrecht.zimmermann/movie-names-well-formatted.html"", """"    "
"2016-03-22T14:43:41.256Z, ""load"", ""https://www.google.be/search?q=ipython&ie=utf-8&oe=utf-8&gws_rd=cr&ei=_bD1VvXKLcO7PJnyi_gH"", """"  "
"2016-03-22T14:43:42.758Z, ""click"", ""https://www.google.be/search?q=ipython&ie=utf-8&oe=utf-8&gws_rd=cr&ei=_bD1VvXKLcO7PJnyi_gH"", ""https://www.google.be/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0ahUKEwj7hL2f59zLAhXDqw4KHYV8BTIQFggjMAA&url=https%3A%2F%2Fipython.org%2F&usg=AFQjCNGlmxDZPbnFSRHqII9HqM32MNspnA""  "
"2016-03-22T14:43:42.911Z, ""beforeunload"", ""https://www.google.be/search?q=ipython&ie=utf-8&oe=utf-8&gws_rd=cr&ei=_bD1VvXKLcO7PJnyi_gH"", """"  "
"2016-03-22T14:43:44.544Z, ""load"", ""https://ipython.org/"", """"    "
"2016-03-22T14:43:51.085Z, ""click"", ""https://ipython.org/"", ""https://jupyter.org/""   "
"2016-03-22T14:43:52.147Z, ""load"", ""https://jupyter.org/"", """"    "
"2016-03-22T14:43:51.094Z, ""beforeunload"", ""https://ipython.org/"", """"    "
"2016-03-22T14:44:54.053Z, ""beforeunload"", ""https://jupyter.org/"", """"    "
"2016-03-22T14:44:55.735Z, ""load"", ""https://www.youtube.com/"", """"    "
"2016-03-22T14:45:14.147Z, ""polling"", ""https://www.youtube.com/results?search_query=community+channel"", """"   "
"2016-03-22T14:45:16.387Z, ""click"", ""https://www.youtube.com/results?search_query=community+channel"", ""https://www.youtube.com/user/communitychannel""    "
"2016-03-22T14:45:16.654Z, ""polling"", ""https://www.youtube.com/user/communitychannel"", """"    "
"2016-03-22T14:45:32.515Z, ""click"", ""https://www.youtube.com/user/communitychannel"", ""https://www.youtube.com/watch?v=JuQ-HjXt6CA""   "
"2016-03-22T14:45:33.252Z, ""polling"", ""https://www.youtube.com/watch?v=JuQ-HjXt6CA"", """"  "
"2016-03-22T14:52:15.365Z, ""beforeunload"", ""https://www.youtube.com/watch?v=JuQ-HjXt6CA"", """" "
"2016-03-22T14:52:16.930Z, ""load"", ""https://www.linkedin.com/"", """"   "
"2016-03-22T14:52:18.120Z, ""beforeunload"", ""https://www.linkedin.com/"", """"   "
"2016-03-22T14:52:19.931Z, ""load"", ""https://www.linkedin.com/nhome/"", """" "
"2016-03-22T14:52:25.308Z, ""click"", ""https://www.linkedin.com/nhome/"", ""https://www.linkedin.com/wvmx/profile?trk=nav_responsive_sub_nav_wvmp""   "
"2016-03-22T14:52:26.523Z, ""load"", ""https://www.linkedin.com/wvmx/profile?trk=nav_responsive_sub_nav_wvmp"", """"   "
"2016-03-22T14:52:25.324Z, ""beforeunload"", ""https://www.linkedin.com/nhome/"", """" "
"2016-03-22T14:53:19.639Z, ""click"", ""https://www.linkedin.com/wvmx/profile?trk=nav_responsive_sub_nav_wvmp"", ""https://www.linkedin.com/wvmx/profile/rankings?trk=wvmx-profile""   "
"2016-03-22T14:53:19.657Z, ""beforeunload"", ""https://www.linkedin.com/wvmx/profile?trk=nav_responsive_sub_nav_wvmp"", """"   "
"2016-03-22T14:53:20.335Z, ""load"", ""https://www.linkedin.com/wvmx/profile/rankings?trk=wvmx-profile"", """" "
"2016-03-22T14:54:00.504Z, ""click"", ""https://www.linkedin.com/wvmx/profile/rankings?trk=wvmx-profile"", ""https://www.linkedin.com/home?trk=nav_responsive_tab_home""   "
"2016-03-22T14:54:00.521Z, ""beforeunload"", ""https://www.linkedin.com/wvmx/profile/rankings?trk=wvmx-profile"", """" "
"2016-03-22T14:54:01.846Z, ""load"", ""https://www.linkedin.com/home?trk=nav_responsive_tab_home"", """"   "
"2016-03-22T14:54:18.832Z, ""beforeunload"", ""https://www.linkedin.com/home?trk=nav_responsive_tab_home"", """"   "
"2016-03-22T14:54:21.808Z, ""load"", ""http://www.aftleuven.be/"", """"    "
"2016-03-22T14:54:44.002Z, ""click"", ""http://www.aftleuven.be/"", ""http://www.aftleuven.be/event/student-startup-trip/""    "
"2016-03-22T14:54:44.012Z, ""beforeunload"", ""http://www.aftleuven.be/"", """"    "
"2016-03-22T14:54:50.667Z, ""load"", ""http://www.aftleuven.be/event/student-startup-trip/"", """" "
"2016-03-22T14:55:29.865Z, ""beforeunload"", ""http://www.aftleuven.be/event/student-startup-trip/"", """" "
"2016-03-22T14:55:30.760Z, ""load"", ""http://www.ibood.com/"", """"   "
"2016-03-22T14:55:35.356Z, ""click"", ""http://www.ibood.com/"", ""http://www.ibood.com/be/nl/#country=be""    "
"2016-03-22T14:55:36.018Z, ""load"", ""http://www.ibood.com/be/nl/#country=be"", """"  "
"2016-03-22T14:55:35.363Z, ""beforeunload"", ""http://www.ibood.com/"", """"   "
"2016-03-22T14:55:42.243Z, ""click"", ""http://www.ibood.com/be/nl/#country=be"", ""http://www.ibood.com/be/nl/#"" "
"2016-03-22T14:55:44.372Z, ""click"", ""http://www.ibood.com/be/nl/#country=be"", ""http://www.ibood.com/be/nl/#"" "
"2016-03-22T14:55:45.613Z, ""click"", ""http://www.ibood.com/be/nl/#country=be"", ""http://www.ibood.com/be/nl/#"" "
"2016-03-22T14:55:47.227Z, ""click"", ""http://www.ibood.com/be/nl/#country=be"", ""http://www.ibood.com/be/nl/#"" "
"2016-03-22T14:55:59.475Z, ""beforeunload"", ""http://www.ibood.com/be/nl/#country=be"", """"  "
"2016-03-22T14:56:01.875Z, ""beforeunload"", ""http://www.ibood.com/be/nl/#country=be"", """"  "
"2016-03-22T14:56:03.281Z, ""beforeunload"", ""http://www.ibood.com/be/nl/#country=be"", """"  "
"2016-03-22T14:56:04.555Z, ""load"", ""https://www.1dayfly.com/"", """"    "
"2016-03-22T14:56:06.329Z, ""click"", ""https://www.1dayfly.com/"", ""https://www.1dayfly.com/be/nl/"" "
"2016-03-22T14:56:06.333Z, ""beforeunload"", ""https://www.1dayfly.com/"", """"    "
"2016-03-22T14:56:07.819Z, ""load"", ""https://www.1dayfly.com/be/nl/"", """"  "
"2016-03-22T14:56:09.890Z, ""beforeunload"", ""https://www.1dayfly.com/be/nl/"", """"  "
"2016-03-22T14:56:11.632Z, ""click"", ""https://www.1dayfly.com/be/nl/"", ""https://www.1dayfly.com/#""    "
"2016-03-22T14:56:12.431Z, ""load"", ""https://www.1dayfly.com/be/nl/"", """"  "
"2016-03-22T14:56:28.740Z, ""beforeunload"", ""https://www.1dayfly.com/be/nl/"", """"  "
"2016-03-22T14:57:26.391Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/bbcswebdav/pid-15093686-dt-content-rid-72015425_2/courses/B-KUL-H00I0a-1516/session_2%285%29.pdf"", """"    "
"2016-03-22T14:57:28.643Z, ""click"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_656328_1&content_id=_15093685_1"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/courseMain?course_id=_656328_1"" "
"2016-03-22T14:57:32.901Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_656328_1&handle=announcements_entry&mode=view"", """" "
"2016-03-22T14:57:28.663Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_656328_1&content_id=_15093685_1"", """"   "
"2016-03-22T14:57:39.227Z, ""click"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_656328_1&handle=announcements_entry&mode=view"", ""https://toledo.kuleuven.be/portal""   "
"2016-03-22T14:57:39.799Z, ""load"", ""https://toledo.kuleuven.be/portal/"", """"  "
"2016-03-22T14:57:39.258Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_656328_1&handle=announcements_entry&mode=view"", """" "
"2016-03-22T14:57:40.365Z, ""polling"", ""https://toledo.kuleuven.be/portal/#/home"", """" "
"2016-03-22T14:57:44.190Z, ""click"", ""https://toledo.kuleuven.be/portal/#/home"", ""https://p.cygnus.cc.kuleuven.be/webapps/tol-web-rs-bb-bb_bb60/goto_lu.do?batchUid=B-KUL-H05D9a-1516&entityId=urn%3Amace%3Akuleuven.be%3Akulassoc%3Akuleuven.be"" "
"2016-03-22T14:57:44.229Z, ""beforeunload"", ""https://toledo.kuleuven.be/portal/#/home"", """"    "
"2016-03-22T14:57:46.995Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_660133_1&handle=announcements_entry&mode=view"", """" "
"2016-03-22T14:57:49.035Z, ""click"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_660133_1&handle=announcements_entry&mode=view"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_660133_1&content_id=_15222244_1&mode=reset""    "
"2016-03-22T14:57:51.084Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_660133_1&content_id=_15222244_1&mode=reset"", """"    "
"2016-03-22T14:57:49.051Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_660133_1&handle=announcements_entry&mode=view"", """" "
"2016-03-22T14:57:55.619Z, ""click"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_660133_1&content_id=_15222244_1&mode=reset"", ""https://p.cygnus.cc.kuleuven.be/bbcswebdav/pid-15222251-dt-content-rid-68425788_2/xid-68425788_2""   "
"2016-03-22T14:57:56.166Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/bbcswebdav/pid-15222251-dt-content-rid-68425788_2/courses/B-KUL-H05D9a-1516/s00_course_info2016v1.pdf"", """"   "
"2016-03-22T14:58:05.422Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/bbcswebdav/pid-15222251-dt-content-rid-68425788_2/courses/B-KUL-H05D9a-1516/s00_course_info2016v1.pdf"", """"   "
"2016-03-22T14:58:11.571Z, ""click"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_660133_1&content_id=_15222244_1&mode=reset"", ""https://www.cosic.esat.kuleuven.be/cns/""    "
"2016-03-22T14:58:11.611Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_660133_1&content_id=_15222244_1&mode=reset"", """"    "
"2016-03-22T14:58:11.960Z, ""load"", ""https://www.cosic.esat.kuleuven.be/cns/"", """" "
"2016-03-22T14:58:14.354Z, ""click"", ""https://www.cosic.esat.kuleuven.be/cns/"", ""https://www.cosic.esat.kuleuven.be/cns/01_introduction/introduction.html""    "
"2016-03-22T14:58:14.361Z, ""beforeunload"", ""https://www.cosic.esat.kuleuven.be/cns/"", """" "
"2016-03-22T14:58:14.453Z, ""load"", ""https://www.cosic.esat.kuleuven.be/cns/01_introduction/introduction.html"", """"    "
"2016-03-22T14:58:18.933Z, ""beforeunload"", ""https://www.cosic.esat.kuleuven.be/cns/01_introduction/introduction.html"", """"    "
"2016-03-22T14:58:19.042Z, ""load"", ""https://www.cosic.esat.kuleuven.be/cns/"", """" "
"2016-03-22T14:58:22.122Z, ""click"", ""https://www.cosic.esat.kuleuven.be/cns/"", ""https://www.cosic.esat.kuleuven.be/cns/06_pki/pki.html""  "
"2016-03-22T14:58:22.124Z, ""beforeunload"", ""https://www.cosic.esat.kuleuven.be/cns/"", """" "
"2016-03-22T14:58:22.380Z, ""load"", ""https://www.cosic.esat.kuleuven.be/cns/06_pki/pki.html"", """"  "
"2016-03-22T15:01:24.445Z, ""beforeunload"", ""https://www.cosic.esat.kuleuven.be/cns/06_pki/pki.html"", """"  "
"2016-03-22T15:01:25.714Z, ""load"", ""https://www.google.be/search?q=f-secure&ie=utf-8&oe=utf-8&gws_rd=cr&ei=JrX1VtPZC4abOJffpuAB"", """" "
"2016-03-22T15:01:27.190Z, ""click"", ""https://www.google.be/search?q=f-secure&ie=utf-8&oe=utf-8&gws_rd=cr&ei=JrX1VtPZC4abOJffpuAB"", ""https://www.google.be/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0ahUKEwiL-ISb69zLAhVGYA8KHYDKAZkQFggjMAA&url=https%3A%2F%2Fwww.f-secure.com%2Fnl_BE%2Fweb%2Fhome_be%2Fhome&usg=AFQjCNGujp2ek5iN-LZ8Og5IuEoFDoPNpQ""    "
"2016-03-22T15:01:27.292Z, ""beforeunload"", ""https://www.google.be/search?q=f-secure&ie=utf-8&oe=utf-8&gws_rd=cr&ei=JrX1VtPZC4abOJffpuAB"", """" "
"2016-03-22T15:01:28.057Z, ""load"", ""https://www.f-secure.com/nl_BE/web/home_be/home"", """" "
"2016-03-22T15:01:35.615Z, ""click"", ""https://www.f-secure.com/nl_BE/web/home_be/home"", ""https://labsblog.f-secure.com/""  "
"2016-03-22T15:01:35.632Z, ""beforeunload"", ""https://www.f-secure.com/nl_BE/web/home_be/home"", """" "
"2016-03-22T15:01:37.221Z, ""load"", ""https://labsblog.f-secure.com/"", """"  "
"2016-03-22T15:03:17.195Z, ""click"", ""https://labsblog.f-secure.com/"", ""https://newsfromthelab.files.wordpress.com/2016/03/fbi-letter-to-senator-wyden.png""   "
