"2016-03-20T11:55:08.950Z, ""beforeunload"", ""http://www.standaard.be/nieuws/buitenland"", """""
"2016-03-20T11:55:09.951Z, ""load"", ""http://www.standaard.be/nieuws/meest-recent"", """""
"2016-03-20T11:55:54.554Z, ""beforeunload"", ""http://www.standaard.be/nieuws/meest-recent"", """""
"2016-03-20T11:55:55.151Z, ""load"", ""https://www.google.be/?gws_rd=ssl"", """""
"2016-03-20T11:55:58.186Z, ""polling"", ""https://www.google.be/?gws_rd=ssl#q=toledo"", """""
"2016-03-20T11:56:00.195Z, ""click"", ""https://www.google.be/?gws_rd=ssl#q=toledo"", ""https://www.google.be/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0ahUKEwjwvri81tvLAhWsNJoKHYeXCwAQFggiMAA&url=https%3A%2F%2Ftoledo.kuleuven.be%2F&usg=AFQjCNGhDbFi61MBsss_BXI9mLUQgNS22w&bvm=bv.117868183,d.bGs"""
"2016-03-20T11:56:00.282Z, ""beforeunload"", ""https://www.google.be/?gws_rd=ssl#q=toledo"", """""
"2016-03-20T11:56:01.260Z, ""load"", ""https://toledo.kuleuven.be/"", """""
"2016-03-20T11:56:02.926Z, ""click"", ""https://toledo.kuleuven.be/"", ""https://toledo.kuleuven.be/portal"""
"2016-03-20T11:56:02.935Z, ""beforeunload"", ""https://toledo.kuleuven.be/"", """""
"2016-03-20T11:56:03.085Z, ""load"", ""https://toledo.kuleuven.be/portal/"", """""
"2016-03-20T11:56:03.129Z, ""beforeunload"", ""https://toledo.kuleuven.be/portal/"", """""
"2016-03-20T11:56:03.530Z, ""load"", ""https://idp.kuleuven.be/idp/view/login.htm"", """""
"2016-03-20T11:56:15.869Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/view/login.htm"", """""
"2016-03-20T11:56:16.140Z, ""load"", ""https://idp.kuleuven.be/idp/profile/SAML2/POST/SSO"", """""
"2016-03-20T11:56:16.191Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/profile/SAML2/POST/SSO"", """""
"2016-03-20T11:56:18.338Z, ""polling"", ""https://toledo.kuleuven.be/portal/#/home"", """""
"2016-03-20T11:56:17.538Z, ""load"", ""https://toledo.kuleuven.be/portal/"", """""
"2016-03-20T11:56:22.758Z, ""click"", ""https://toledo.kuleuven.be/portal/#/home"", ""https://toledo.kuleuven.be/portal/"""
"2016-03-20T11:56:30.840Z, ""click"", ""https://toledo.kuleuven.be/portal/#/home"", ""https://toledo.kuleuven.be/portal/"""
"2016-03-20T11:56:47.895Z, ""click"", ""https://toledo.kuleuven.be/portal/#/home"", ""https://p.cygnus.cc.kuleuven.be/webapps/tol-web-rs-bb-bb_bb60/goto_lu.do?batchUid=B-KUL-H05D9a-1516&entityId=urn%3Amace%3Akuleuven.be%3Akulassoc%3Akuleuven.be"""
"2016-03-20T11:56:48.397Z, ""load"", ""https://idp.kuleuven.be/idp/profile/SAML2/Redirect/SSO"", """""
"2016-03-20T11:56:47.916Z, ""beforeunload"", ""https://toledo.kuleuven.be/portal/#/home"", """""
"2016-03-20T11:56:48.444Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/profile/SAML2/Redirect/SSO"", """""
